rk,player,pos,g,xpm,xpa,xp_percent,fgm,fga,fg_percent,pts,pnt,yds,y_p,awards,Team,Year
2,Cole Becker,K,10,28,28,100.0,15,18,83.3,73,0,0,,,utah,2023
3,Joey Cheek,K,3,7,7,100.0,1,2,50.0,10,0,0,,,utah,2023
1,Harrison Smith,P,12,0,0,,0,0,,0,73,3111,42.6,,vanderbilt,2021
2,Joseph Bulovas,K,12,15,15,100.0,14,19,73.7,57,0,0,,,vanderbilt,2021
1,Joseph Bulovas,K,12,35,35,100.0,7,12,58.3,56,0,0,,,vanderbilt,2022
2,Matt Hayball,P,12,0,0,,0,0,,0,58,2634,45.4,,vanderbilt,2022
3,Will Faris,K,2,1,1,100.0,0,0,,1,0,0,,,vanderbilt,2022
1,Jacob Borcila,K,12,29,30,96.7,7,10,70.0,50,0,0,,,vanderbilt,2023
2,Matt Hayball,P,12,0,0,,0,0,,0,57,2713,47.6,,vanderbilt,2023
1,John Parker Romo,K,13,34,34,100.0,18,22,81.8,88,0,0,,,virginia-tech,2021
2,Peter Moore,P,13,0,0,,0,0,,0,65,2892,44.5,,virginia-tech,2021
1,Peter Moore,P,11,0,0,,0,0,,0,73,3042,41.7,,virginia-tech,2022
2,William Ross,K,9,20,22,90.9,8,10,80.0,44,0,0,,,virginia-tech,2022
3,John Love,K,2,3,3,100.0,1,2,50.0,6,0,0,,,virginia-tech,2022
1,John Love,K,13,44,44,100.0,22,24,91.7,110,0,0,,,virginia-tech,2023
2,Peter Moore,P,13,0,0,,0,0,,0,60,2588,43.1,,virginia-tech,2023
1,Jacob Finn,P,12,0,0,,0,0,,0,41,1812,44.2,,virginia,2021
2,Brendan Farrell,P,9,34,34,100.0,11,13,84.6,67,0,0,,,virginia,2021
3,Justin Duenkel,K,6,16,16,100.0,4,6,66.7,28,0,0,,,virginia,2021
1,Brendan Farrell,P,10,5,6,83.3,4,8,50.0,17,3,90,30.0,,virginia,2022
2,Brennan Armstrong,QB,10,0,0,,0,0,,0,2,58,29.0,,virginia,2022
3,Daniel Sparks,P,10,0,0,,0,0,,0,46,2113,45.9,,virginia,2022
4,Will Bettridge,K,7,12,14,85.7,7,10,70.0,33,0,0,,,virginia,2022
1,Daniel Sparks,P,12,0,0,,0,0,,0,64,2746,42.9,,virginia,2023
2,Will Bettridge,K,12,31,31,100.0,18,21,85.7,85,0,0,,,virginia,2023
1,Ivan Mora,PK,14,0,0,,0,0,,0,50,2188,43.8,,wake-forest,2021
2,Nick Sciba,K,14,65,65,100.0,23,25,92.0,134,0,0,,,wake-forest,2021
3,Zach Murphy,PK,14,0,0,,0,0,,0,2,88,44.0,,wake-forest,2021
1,Matthew Dennis,K,13,56,57,98.2,12,14,85.7,92,4,120,30.0,,wake-forest,2022
2,Zach Murphy,P,13,3,3,100.0,0,0,,3,6,238,39.7,,wake-forest,2022
3,Ivan Mora,P,12,0,0,,0,0,,0,40,1630,40.8,,wake-forest,2022
1,Ivan Mora,P,12,0,0,,0,0,,0,58,2410,41.6,,wake-forest,2023
2,Matthew Dennis,K,11,20,21,95.2,14,20,70.0,62,0,0,,,wake-forest,2023
3,Tyler Black,P,11,2,2,100.0,1,2,50.0,5,0,0,,,wake-forest,2023
1,Dean Janikowski,K,13,42,44,95.5,14,17,82.4,84,0,0,,,washington-state,2021
2,Nick Haberer,P,13,0,0,,0,0,,0,52,2225,42.8,,washington-state,2021
3,Jayden De Laura,QB,12,0,0,,0,0,,0,1,28,28.0,,washington-state,2021
4,Andrew Boyle,K,3,0,0,,0,1,0.0,0,2,89,44.5,,washington-state,2021
1,Nick Haberer,P,13,0,0,,0,0,,0,59,2502,42.4,,washington-state,2022
2,Dean Janikowski,K,12,40,41,97.6,11,14,78.6,73,0,0,,,washington-state,2022
1,Dean Janikowski,K,12,44,44,100.0,10,15,66.7,74,0,0,,,washington-state,2023
2,Nick Haberer,P,12,0,0,,0,0,,0,46,2041,44.4,,washington-state,2023
1,Peyton Henry,PK,12,26,26,100.0,11,14,78.6,59,0,0,,,washington,2021
2,Race Porter,P,12,0,0,,0,0,,0,53,2572,48.5,,washington,2021
3,Tim Horn,PK,4,3,3,100.0,0,0,,3,0,0,,,washington,2021
1,Jack McCallister,P,13,0,0,,0,0,,0,23,939,40.8,,washington,2022
2,Peyton Henry,K,13,58,59,98.3,19,22,86.4,115,0,0,,,washington,2022
3,Addison Shrock,K,1,1,1,100.0,0,0,,1,0,0,,,washington,2022
4,Kevin Ryan,K,1,0,0,,0,0,,0,1,37,37.0,,washington,2022
1,Grady Gross,K,15,63,63,100.0,18,22,81.8,117,0,0,,,washington,2023
2,Jack McCallister,P,15,0,0,,0,0,,0,45,1878,41.7,,washington,2023
3,Addison Shrock,K,1,1,1,100.0,0,0,,1,0,0,,,washington,2023
1,Evan Staley,K,13,2,2,100.0,0,0,,2,0,0,,,west-virginia,2021
2,Casey Legg,K,12,35,35,100.0,19,23,82.6,92,0,0,,,west-virginia,2021
3,Tyler Sumpter,K,12,0,0,,0,0,,0,52,2261,43.5,,west-virginia,2021
1,Casey Legg,K,12,37,39,94.9,14,15,93.3,79,0,0,,,west-virginia,2022
2,Parker Grothaus,K,12,2,3,66.7,0,0,,2,0,0,,,west-virginia,2022
3,Oliver Straw,P,11,0,0,,0,0,,0,48,2029,42.3,,west-virginia,2022
1,Michael Hayes,K,13,46,46,100.0,17,21,81.0,97,0,0,,,west-virginia,2023
2,Oliver Straw,P,13,0,0,,0,0,,0,43,1853,43.1,,west-virginia,2023
3,Lieghton Bechdel,P,7,0,0,,0,0,,0,1,26,26.0,,west-virginia,2023
4,Danny King,K,3,2,2,100.0,0,0,,2,0,0,,,west-virginia,2023
1,Brayden Narveson,K,14,72,72,100.0,23,29,79.3,141,0,0,,,western-kentucky,2021
2,John Haggerty,P,14,0,0,,0,0,,0,33,1608,48.7,,western-kentucky,2021
1,Cory Munson,K,14,5,5,100.0,3,4,75.0,14,0,0,,,western-kentucky,2022
2,Brayden Narveson,K,13,59,59,100.0,15,21,71.4,104,0,0,,,western-kentucky,2022
3,Tom Ellard,P,13,0,0,,0,0,,0,43,1824,42.4,,western-kentucky,2022
1,Cory Munson,K,13,0,0,,0,0,,0,12,480,40.0,,western-kentucky,2023
2,Lucas Carneiro,K,13,47,47,100.0,9,12,75.0,74,0,0,,,western-kentucky,2023
3,Austin Reed,QB,12,0,0,,0,0,,0,1,37,37.0,,western-kentucky,2023
4,Tom Ellard,P,9,0,0,,0,0,,0,46,1886,41.0,,western-kentucky,2023
1,Nick Mihalic,P,13,11,14,78.6,9,11,81.8,38,47,1971,41.9,,western-michigan,2021
2,Parker Sampson,K,10,39,41,95.1,3,7,42.9,48,0,0,,,western-michigan,2021
1,Nick Mihalic,P,12,0,0,,0,0,,0,69,2905,42.1,,western-michigan,2022
2,Palmer Domschke,K,12,21,22,95.5,13,19,68.4,60,0,0,,,western-michigan,2022
1,Carson Voss,P,12,0,0,,0,0,,0,43,1691,39.3,,western-michigan,2023
2,Palmer Domschke,K,12,35,35,100.0,9,15,60.0,62,0,0,,,western-michigan,2023
3,Hayden Wolff,QB,8,0,0,,0,0,,0,1,23,23.0,,western-michigan,2023
4,Jack Salopek,QB,6,0,0,,0,0,,0,1,43,43.0,,western-michigan,2023
5,Cameron Peasley,P,4,0,0,,0,0,,0,11,438,39.8,,western-michigan,2023
1,Andy Vujnovich,P,13,0,0,,0,0,,0,49,2274,46.4,,wisconsin,2021
2,Collin Larsh,K,13,39,40,97.5,17,22,77.3,90,0,0,,,wisconsin,2021
3,Conor Schlichting,P,13,0,0,,0,0,,0,6,179,29.8,,wisconsin,2021
1,Andy Vujnovich,P,13,0,0,,0,0,,0,63,2768,43.9,,wisconsin,2022
2,Nate Van Zelst,K,11,35,35,100.0,11,14,78.6,68,0,0,,,wisconsin,2022
3,Vito Calvaruso,K,2,7,7,100.0,1,3,33.3,10,0,0,,,wisconsin,2022
1,Atticus Bertrams,P,13,0,0,,0,0,,0,63,2602,41.3,,wisconsin,2023
2,Nathanial Vakos,K,13,34,34,100.0,15,19,78.9,79,0,0,,,wisconsin,2023
1,John Hoyland,PK,13,40,40,100.0,10,14,71.4,70,0,0,,,wyoming,2021
2,Ralph Fawaz,PK,13,0,0,,0,0,,0,58,2466,42.5,,wyoming,2021
1,Clayton Stewart,P,13,0,0,,0,0,,0,73,3194,43.8,,wyoming,2022
2,John Hoyland,K,13,28,28,100.0,22,25,88.0,94,0,0,,,wyoming,2022
1,Clayton Stewart,P,13,0,0,,0,0,,0,61,2567,42.1,,wyoming,2023
2,John Hoyland,K,13,38,39,97.4,13,20,65.0,77,0,0,,,wyoming,2023
